20160501 191600;0.784840;0.784970;0.784680;0.784680;0
20160501 191700;0.784650;0.784790;0.784590;0.784720;0
20160501 191800;0.784740;0.784850;0.784690;0.784760;0
20160501 191900;0.784750;0.784790;0.784660;0.784770;0
20160501 192000;0.784780;0.784820;0.784640;0.784780;0
20160501 192100;0.784770;0.784880;0.784730;0.784790;0
20160501 192200;0.784780;0.784830;0.784740;0.784790;0
20160501 192300;0.784790;0.784850;0.784770;0.784790;0
20160501 192400;0.784780;0.784850;0.784780;0.784800;0
20160501 192500;0.784790;0.784810;0.784790;0.784790;0
20160501 192600;0.784790;0.784820;0.784790;0.784820;0
20160501 192700;0.784820;0.784970;0.784790;0.784970;0
20160501 192800;0.784970;0.785000;0.784900;0.784940;0
20160501 192900;0.784960;0.785010;0.784950;0.784960;0
20160501 193000;0.784920;0.784990;0.784730;0.784870;0
20160501 193100;0.784860;0.784970;0.784860;0.784930;0
20160501 193200;0.784920;0.784980;0.784890;0.784910;0
20160501 193300;0.784920;0.785000;0.784860;0.784930;0
20160501 193400;0.784930;0.784940;0.784890;0.784890;0
20160501 193500;0.784890;0.785040;0.784890;0.785040;0
20160501 193600;0.785040;0.785040;0.784890;0.784920;0
20160501 193700;0.784930;0.785080;0.784930;0.785040;0
20160501 193800;0.785030;0.785120;0.785030;0.785120;0
20160501 193900;0.785130;0.785280;0.785110;0.785240;0
20160501 194000;0.785250;0.785260;0.785110;0.785160;0
20160501 194100;0.785170;0.785170;0.784990;0.785090;0
20160501 194200;0.785100;0.785100;0.785050;0.785100;0
20160501 194300;0.785090;0.785100;0.785090;0.785090;0
20160501 194400;0.785090;0.785140;0.785080;0.785080;0
20160501 194500;0.785070;0.785070;0.785040;0.785050;0
20160501 194600;0.785060;0.785070;0.785040;0.785060;0
20160501 194700;0.785060;0.785090;0.785050;0.785050;0
20160501 194800;0.785050;0.785150;0.785050;0.785140;0
20160501 194900;0.785160;0.785160;0.785130;0.785160;0
20160501 195000;0.785140;0.785160;0.785100;0.785120;0
20160501 195100;0.785120;0.785140;0.785040;0.785080;0
20160501 195200;0.785070;0.785100;0.785050;0.785090;0
20160501 195300;0.785080;0.785100;0.785040;0.785070;0
20160501 195400;0.785080;0.785080;0.785050;0.785050;0
20160501 195500;0.785040;0.785040;0.784980;0.784990;0
20160501 195600;0.785020;0.785040;0.784990;0.785020;0
20160501 195700;0.785000;0.785040;0.784930;0.785010;0
20160501 195800;0.785020;0.785020;0.784870;0.784920;0
20160501 195900;0.784930;0.784940;0.784780;0.784790;0
20160501 200000;0.784790;0.785010;0.784630;0.785000;0
20160501 200100;0.785010;0.785110;0.784730;0.784820;0
20160501 200200;0.784810;0.784810;0.784690;0.784770;0
20160501 200300;0.784810;0.784900;0.784660;0.784820;0
20160501 200400;0.784810;0.784840;0.784560;0.784570;0
20160501 200500;0.784560;0.784560;0.784420;0.784450;0
20160501 200600;0.784440;0.784470;0.784370;0.784420;0
20160501 200700;0.784420;0.784590;0.784400;0.784570;0
20160501 200800;0.784560;0.784650;0.784560;0.784630;0
20160501 200900;0.784620;0.784770;0.784610;0.784660;0
20160501 201000;0.784670;0.784750;0.784670;0.784710;0
20160501 201100;0.784700;0.784740;0.784600;0.784680;0
20160501 201200;0.784660;0.784670;0.784550;0.784640;0
20160501 201300;0.784640;0.784700;0.784590;0.784590;0
20160501 201400;0.784590;0.784640;0.784520;0.784640;0
20160501 201500;0.784640;0.784680;0.784520;0.784600;0
20160501 201600;0.784600;0.784600;0.784570;0.784580;0
20160501 201700;0.784590;0.784650;0.784580;0.784640;0
20160501 201800;0.784650;0.784690;0.784480;0.784630;0
20160501 201900;0.784620;0.784690;0.784500;0.784680;0
20160501 202000;0.784680;0.784690;0.784530;0.784540;0
20160501 202100;0.784540;0.784590;0.784470;0.784520;0
20160501 202200;0.784530;0.784590;0.784490;0.784570;0
20160501 202300;0.784580;0.784680;0.784570;0.784680;0
20160501 202400;0.784670;0.784700;0.784670;0.784690;0
20160501 202500;0.784700;0.784720;0.784620;0.784650;0
20160501 202600;0.784690;0.784700;0.784640;0.784700;0
20160501 202700;0.784720;0.784770;0.784690;0.784700;0
20160501 202800;0.784720;0.784780;0.784690;0.784780;0
20160501 202900;0.784760;0.784770;0.784630;0.784700;0
20160501 203000;0.784760;0.785100;0.784700;0.785020;0
20160501 203100;0.785020;0.785230;0.784970;0.785180;0
20160501 203200;0.785180;0.785180;0.785110;0.785170;0
20160501 203300;0.785180;0.785290;0.785160;0.785280;0
20160501 203400;0.785270;0.785270;0.785140;0.785190;0
20160501 203500;0.785180;0.785340;0.785170;0.785240;0
20160501 203600;0.785240;0.785310;0.785170;0.785170;0
20160501 203700;0.785170;0.785200;0.785120;0.785200;0
20160501 203800;0.785200;0.785220;0.785160;0.785180;0
20160501 203900;0.785190;0.785380;0.785190;0.785270;0
20160501 204000;0.785280;0.785330;0.785250;0.785280;0
20160501 204100;0.785280;0.785340;0.785240;0.785340;0
20160501 204200;0.785330;0.785360;0.785310;0.785320;0
20160501 204300;0.785320;0.785340;0.785230;0.785240;0
20160501 204400;0.785250;0.785270;0.785160;0.785190;0
20160501 204500;0.785190;0.785290;0.785190;0.785270;0
20160501 204600;0.785270;0.785270;0.785170;0.785200;0
20160501 204700;0.785190;0.785230;0.785140;0.785180;0
20160501 204800;0.785180;0.785190;0.785170;0.785180;0
20160501 204900;0.785180;0.785180;0.785020;0.785110;0
20160501 205000;0.785120;0.785120;0.785000;0.785020;0
20160501 205100;0.785020;0.785140;0.784990;0.785140;0
20160501 205200;0.785140;0.785180;0.785130;0.785180;0
20160501 205300;0.785190;0.785230;0.785160;0.785160;0
20160501 205400;0.785170;0.785200;0.784920;0.784920;0
20160501 205500;0.784930;0.785120;0.784930;0.785080;0
20160501 205600;0.785090;0.785140;0.785020;0.785090;0
20160501 205700;0.785150;0.785180;0.785070;0.785150;0
20160501 205800;0.785150;0.785180;0.785080;0.785130;0
20160501 205900;0.785140;0.785180;0.785140;0.785170;0
20160501 210000;0.785160;0.785160;0.784970;0.785030;0
20160501 210100;0.785000;0.785040;0.784970;0.784980;0
20160501 210200;0.784980;0.784980;0.784900;0.784950;0
20160501 210300;0.784950;0.784980;0.784870;0.784880;0
20160501 210400;0.784870;0.784920;0.784810;0.784850;0
20160501 210500;0.784870;0.784940;0.784870;0.784880;0
20160501 210600;0.784880;0.784880;0.784800;0.784830;0
20160501 210700;0.784830;0.784860;0.784770;0.784770;0
20160501 210800;0.784780;0.784850;0.784780;0.784840;0
20160501 210900;0.784830;0.784890;0.784800;0.784820;0
20160501 211000;0.784820;0.784820;0.784680;0.784680;0
20160501 211100;0.784690;0.784800;0.784690;0.784800;0
20160501 211200;0.784790;0.784830;0.784740;0.784790;0
20160501 211300;0.784790;0.784790;0.784720;0.784720;0
20160501 211400;0.784730;0.784770;0.784700;0.784740;0
20160501 211500;0.784730;0.784730;0.784680;0.784680;0
20160501 211600;0.784690;0.784700;0.784670;0.784690;0
20160501 211700;0.784700;0.784740;0.784690;0.784720;0
20160501 211800;0.784730;0.784750;0.784690;0.784740;0
20160501 211900;0.784750;0.784800;0.784750;0.784780;0
20160501 212000;0.784760;0.784790;0.784740;0.784740;0
20160501 212100;0.784740;0.784740;0.784660;0.784670;0
20160501 212200;0.784650;0.784670;0.784650;0.784660;0
20160501 212300;0.784670;0.784680;0.784660;0.784670;0
20160501 212400;0.784670;0.784700;0.784660;0.784670;0
20160501 212500;0.784650;0.784680;0.784600;0.784680;0
20160501 212600;0.784690;0.784790;0.784660;0.784790;0
20160501 212700;0.784800;0.784800;0.784700;0.784720;0
20160501 212800;0.784720;0.784720;0.784680;0.784700;0
20160501 212900;0.784700;0.784820;0.784680;0.784780;0
